Title,Month,Format,Location,Affiliation,Purpose,Language,Tools,Collaborators,Themes,Link,Description,Portfolio
The Joy of Bad Cinema,02 2018,text,Hong Kong,International Baccalaureate,Organisation/event,English,Python,,media,https://issuu.com/cisxiaohua/docs/xiaohuaissue17/72,"Feature about cult classic films that are ""so bad it's good"", published in Xiao Hua.",
81,02 2018,audio,Hong Kong,International Baccalaureate,For myself,,"piano, GarageBand",,music,,,
a poet’s pledge,03 2018,text,Hong Kong,International Baccalaureate,For myself,English,,,relationships,,,
Crazy Cool Music,03 2018,multimedia,Hong Kong,International Baccalaureate,For a friend,English,"brush pen, Adobe Illustrator",,relationships,,,
"The World Is Big, And I Am Small",03 2018,text,Hong Kong,International Baccalaureate,For myself,English,,,identity,,,
Scene Analysis: In the Mood for Love,04 2018,text,Hong Kong,International Baccalaureate,Assignment,English,,,media,,Scene analysis from Wong Kar-wai's In the Mood for Love.,
naming the void,04 2018,text,Hong Kong,International Baccalaureate,For myself,English,,,relationships,,,
Qiu,04 2018,digital,Hong Kong,International Baccalaureate,For a friend,English,"brush pen, Adobe Illustrator",,relationships,,,
Music in Bollywood and Soviet Stalinist Musicals,05 2018,text,Hong Kong,International Baccalaureate,Assignment,English,WriterDuet,,"media, music",,Comparative analysis of the use of music across Bollywood and Soviet musicals.,
Film as a Visual Voice for the Deaf,05 2018,text,Hong Kong,International Baccalaureate,Assignment,English,,,"media, disability",,Thesis exploring the use of film as a visual voice for the Deaf.,
Make Art; Make Art; Make Art,05 2018,video,Hong Kong,International Baccalaureate,For a friend,English,"Adobe Illustrator, Adobe After Effects",Georgina Savage,"relationships, identity, visual art",https://youtu.be/W0q1EKXCrJ4,,
"oh, to be an otter",06 2018,text,Hong Kong,International Baccalaureate,For myself,English,,,relationships,,,
Found' Identities: Exploring the LGBTQ and Deaf Communities,06 2018,text,Hong Kong,International Baccalaureate,Organisation/event,English,,,"identity, gender and sexuality, disability",https://issuu.com/cisxiaohua/docs/xiaohuaissue18/78,"Feature about the similarities and intersections between the LGBTQ and Deaf communities, published in Xiao Hua.",
sleep,07 2018,text,Hong Kong,International Baccalaureate,For myself,English,,,relationships,,,
arrhythmia,08 2018,text,Hong Kong,International Baccalaureate,For myself,English,,,relationships,,,
sepia afternoons,09 2018,text,Hong Kong,University of Southern California,For myself,English,,,relationships,,,
Symmetry,11 2018,code,"Los Angeles, California, USA",University of Southern California,Assignment,English,Processing,,visual art,,A drawing tool exploring symmetry as an artistic method.,
Modern Food,12 2018,code,"Los Angeles, California, USA",University of Southern California,Assignment,English,HTML/CSS/JS,"Sandria Tran, Dede Louis","food, digital culture",https://modern-food.surge.sh/,A digital zine about our modern relationship with food.,
what does reverence taste like?,12 2018,text,"Los Angeles, California, USA",University of Southern California,For myself,English,,,relationships,,,
in the skin,12 2018,text,Hong Kong,University of Southern California,For myself,English,,,relationships,,,
lost on his aerial rings,04 2019,text,"Los Angeles, California, USA",University of Southern California,For myself,English,,,relationships,,,
imprints,05 2019,text,"Los Angeles, California, USA",University of Southern California,For myself,English,,,relationships,,,
The Portal,04 2019,audio,"Los Angeles, California, USA",University of Southern California,Assignment,English,Adobe Audition,Kris Yuan,fantasy,,An audio experience exploring fiction and fact inspired by place.,
Bluebirds,05 2019,code,"Los Angeles, California, USA",University of Southern California,Assignment,English,Processing,,digital culture,https://github.com/whykatherine/Bluebirds,A Twitter interface/visualisation based on Daniel Shiffman's flocking algorithm.,personal
declaiming judgment,05 2019,text,"Los Angeles, California, USA",University of Southern California,Assignment,English,,various,identity,,A cento comprised of lines from classmates' written reflections throughout the course of the class.,
excerpts,07 2019,text,Hong Kong,University of Southern California,For myself,English,,,relationships,,,
Pronouns in Politics,08 2019,code,"Los Angeles, California, USA",University of Southern California,Assignment,English,"R, SPSS",,"language, politics",https://github.com/whykatherine/pronouns-in-politics,How do Barack Obama and Donald Trump use personal pronouns in political speeches?,
Woo,08 2019,code,Hong Kong,Superunion,Work,English,Processing,various,play,https://github.com/whykatherine/woo,Audio-based interactive installation that turns a brand into a game and source of play.,
Fine Art Asia,08 2019,code,Hong Kong,Superunion,Work,English,Processing,various,"Chinese culture, visual art",https://github.com/whykatherine/FAAInteractiveBrand,Camera-based interactive brand installation for Fine Art Asia.,professional
Dissonant Identities: Inherited and Individual,10 2019,text,"Los Angeles, California, USA",University of Southern California,Assignment,English,,,identity,,Analysis and reflection on Maxine Hong Kingston's The Woman Warrior.,
Slide to Unlock,11 2019,text,"Los Angeles, California, USA",University of Southern California,Assignment,English,,,digital culture,,"Analysis of Ed Park's ""Slide to Unlock"".",
Hyperlinked Narratives,12 2019,code,"Los Angeles, California, USA",University of Southern California,Assignment,English,HTML/CSS/JS,,"poetic tech, play",https://hyperlinked-narratives.herokuapp.com/,A Wikipedia-based narrative tool.,personal
Character Characters,12 2019,3D,"Los Angeles, California, USA",University of Southern California,Assignment,English,Maya,,play,,3D animation of a visual pun.,
Midnight Monsters,01 2020,digital,"Hong Kong; Los Angeles, California, USA",University of Southern California,For myself,English,Adobe Illustrator,,relationships,,,
Carbon Price Tag,02 2020,code,"Los Angeles, California, USA",University of Southern California,Organisation/event,English,"HTML/CSS/JS, Canva","Kyle Hu, Daniel Truong, Adam Lee",sustainability,https://devpost.com/software/carbon-price-tag,A Chrome extension that presents ,
the shape of a feeling,02 2020,text,"Los Angeles, California, USA",University of Southern California,For myself,English,,,relationships,,,
Gemini,02 2020,code,"Los Angeles, California, USA",University of Southern California,Assignment,English,Processing,,fantasy,https://www.instagram.com/p/B8N0RcOJ0hx/,An interactive generative landscape inspired by Thatgamecompany's Journey.,
Let’s Get Granular,02 2020,code,"Los Angeles, California, USA",University of Southern California,Assignment,English,"Python, HTML/CSS/JS, d3.js","Esha Chekuri, Thomas Forman, Natasha Mandi, Joe Masters",digital culture,https://letsgetgranular.surge.sh/,An interactive visualisation of Venmo as a social network.,personal
A Global Language,03 2020,code,"Los Angeles, California, USA; Hong Kong",University of Southern California,Assignment,English,HTML/CSS/JS,,"language, connection",https://agloballanguage.herokuapp.com/,Interactive visualisation tool exploring the etymological history of the English language.,personal
Epistles,03 2020,code,Hong Kong,University of Southern California,For a friend,English,"Python, HTML/CSS/JS",Adam Guo,"digital culture, relationships",https://whykatherine.github.io/work/epistles/,Data story of a friendship.,
Celebrate from Home,04 2020,code,Hong Kong,University of Southern California,Assignment,English,"Processing, p5.js, HTML/CSS/JS",,"Chinese culture, travel",https://celebratefromhome.surge.sh/,Interactive visualisation of passenger traffic during the festive periods of 2020 in Hong Kong.,
Distant Destinations,04 2020,code,"Los Angeles, California, USA; Hong Kong",University of Southern California,Organisation/event,English,Unity,"Kenneth Phillips, Matts Borges, Jane Carpenter, Priya Irukulapati, Audrey Franklin","science communication, play",https://www.youtube.com/watch?v=Vw4cJbQ3jtk,Prototype for an interactive exhibit about mission planning for the California Space Center.,professional
It All Started with the Simpsons,05 2020,code,Hong Kong,University of Southern California,Assignment,English,"Python, Adobe After Effects, Adobe Premiere Pro",,"fandom, media",https://youtu.be/tzhH_btkHa0,A computational remix video essay that journeys through references in animated shows.,experimental
人是活额：旅行传记片,05 2020,video,"Yunnan, China; Hong Kong",University of Southern California,Assignment,Chinese (Shanghainese),Adobe Premiere Pro,Mom,"Chinese culture, family, language",https://youtu.be/XtRI7YprGDc,Documentary short film about my mother and the trials of Chinese womanhood.,
takes no arguments,05 2020,code,Hong Kong,University of Southern California,Personal,English,Python,,poetic tech,https://github.com/whykatherine/takesnoarguments,An e-literature experiment about arguments.,experimental
Emotions Poem,07 2020,code,Hong Kong,University of Southern California,Personal,English,HTML/CSS/JS,,"emotions, poetic tech",https://whykatherine.github.io/emotionspoem/,"One-syllable emotions, felt in waves turbulent, uneven, overlapping, and without end.",experimental
uselessprogram.js,08 2020,code,Hong Kong,University of Southern California,Personal,English,JS,,poetic tech,https://github.com/whykatherine/uselessprogram/,A runnable code poem inspired by and adapted from Eloquent JavaScript.,experimental
Drama and Musical Theatre Society,09 2020,digital,Hong Kong,University of Southern California,For a friend,English,Adobe Illustrator,Jasmine Savage,performance,https://www.facebook.com/UEADramaandMTSociety,Logo for University of East Anglia's Drama and Musical Theatre Society.,
Waking and Sleeping,10 2020,code,Hong Kong,University of Southern California,Personal,English,HTML/CSS/JS,,"poetic tech, connection, emotions",https://wakingandsleeping.glitch.me/,"“Good morning” and “good night” tweets, mapped in real-time.",personal
Toybox,10 2020,code,Hong Kong,University of Southern California,Organisation/event,English,Unity,various,"childhood, play",https://glowcone.itch.io/toybox,Escape the toybox by navigating a Rubrik's cube maze and collecting all four artifacts.,
Language of Place,10 2020,code,Hong Kong,University of Southern California,For a friend,English,"HTML/CSS/JS, p5.js",Ambika Joshi,"language, Chinese culture",https://www.youtube.com/watch?v=9-4H2PuZlsU,Interactive exploration of multilingual place names in Hong Kong.,
Archaeological Dig(ital),12 2020,code,Hong Kong,University of Southern California,Assignment,English,HTML/CSS/JS,,digital culture,https://drive.google.com/drive/folders/1W7tFJEqoSkd1sA0di04UicXQT8efYMLG,A browser extension exploring websites through the lens of media archaeology.,work in progress
Hades Hands,12 2020,digital,Hong Kong,University of Southern California,For myself,English,"pencil, Adobe Photoshop",,relationships,https://www.instagram.com/p/CIaPR_Thzjo/,,
Stream of Consciousness,12 2020,code,Hong Kong,University of Southern California,Personal,English,HTML/CSS/JS,Cameron Roper,"poetic tech, emotions",https://whykatherine.github.io/streamofconsciousness/,A tool that sends your thoughts down a stream of consciousness.,experimental
Cento,12 2020,digital,"Los Angeles, California, USA; Hong Kong",University of Southern California,Assignment,English,"Processing, pencil, Adobe Illustrator",,identity,https://www.instagram.com/p/CITGsW0hSzZ/,A cento comprised of lines and illustrations from notes on the freshman symposium.,
Roo,01 2021,digital,Hong Kong,University of Southern California,For a friend,English,Procreate,,relationships,https://www.instagram.com/p/CJnH4rJBJpY/,,
Saturn,01 2021,digital,Hong Kong,University of Southern California,For myself,English,Procreate,,music,https://www.instagram.com/p/CJ_f39ohMP2/,,
Community References,01 2021,code,"Los Angeles, California, USA; Hong Kong",University of Southern California,Assignment,English,"Python, HTML/CSS/JS",,"fandom, media",https://github.com/whykatherine/community-references,"Analysing how Dan Harmon's ""Community"" creates a profile of pop culture through textual references. ",work in progress
Doing the Work,01 2021,code,Hong Kong,University of Southern California,For myself,English,HTML/CSS/JS,,social justice,https://doingthework.glitch.me/,A self-reflection tool for questioning and strengthening your beliefs.,
Build Your Bookshelf,02 2021,code,Hong Kong,University of Southern California,Personal,English,"HTML/CSS/JS, React.js",,"literature, identity",https://github.com/whykatherine/build-your-bookshelf,Virtually build your ideal bookshelf.,work in progress
Creative Code Collective,02 2021,code,"Los Angeles, California, USA; Hong Kong",University of Southern California,Organisation/event,English,HTML/CSS/JS,"Sarah Ciston, Samir Ghosh",community,https://creativecodecollective.github.io/,Website for our creative coding organisation for undergrads and grads at USC and beyond.,work in progress
Leaves,03 2021,multimedia,Hong Kong,University of Southern California,Assignment,English,"camera, colour pencil, Adobe Photoshop, Python",,nature,https://docs.google.com/presentation/d/1nocUGZOHMS-g8WeEnPhQzNSR34v9BxBE3mAMU7fa770/view,Rubbings visualising the vein networks of a collection of leaves.,
secret secret,02 2021,code,Hong Kong,University of Southern California,For a friend,English,HTML/CSS/JS,,digital culture,https://secretsecret.glitch.me/,A tool that abstracts and encrypts your secrets to display them in plain sight.,experimental
Home Cooking: The Playing Cards,03 2021,print,Hong Kong,University of Southern California,Assignment,,"pencil, Adobe Illustrator, printer",,"food, domesticity",https://www.instagram.com/p/CL8Lnjbhvco/,A set of playing cards designed around my experience with home cooking.,
FemFest 2021,04 2021,code,"Los Angeles, California, USA; Hong Kong.",University of Southern California,Organisation/event,English,"HTML/CSS/JS, React.js","Nico Pizzati, Luke Greenwood","social justice, music, community",https://femfest.online,Web experience for the annual intersectional feminist music festival for USC and LA.,professional
Asclepius: A Timeline of Dream Journals,04 2021,code,Hong Kong,University of Southern California,Assignment,English,"Python, Processing",,"emotions, identity",,An interface for exploring nine years of dream journals.,work in progress
Political Posters,,digital,Hong Kong,University of Southern California,Assignment,"English, Chinese (Mandarin)","pencil, Adobe Illustrator",,,,Graphic posters promoting political viewpoints.,
